iter	Passed	Remaining
681	30107	58184
682	30147	58132
683	30183	58071
684	30219	58012
685	30257	57956
686	30297	57905
687	30336	57850
688	30374	57796
689	30413	57742
690	30451	57685
691	30487	57625
692	30528	57577
693	30570	57528
694	30609	57475
695	30655	57434
696	30692	57378
697	30729	57320
698	30766	57263
699	30802	57205
700	30839	57147
701	30876	57090
702	30920	57046
703	30957	56990
704	30993	56931
705	31030	56873
706	31067	56818
707	31121	56791
708	31171	56759
709	31222	56728
710	31274	56698
711	31324	56665
712	31372	56628
713	31416	56584
714	31464	56547
715	31513	56513
716	31565	56483
717	31617	56454
718	31663	56413
719	31715	56382
720	31765	56349
721	31813	56311
722	31859	56271
723	31906	56233
724	31961	56207
725	32010	56173
726	32059	56137
727	32116	56114
728	32162	56075
729	32213	56041
730	32262	56006
731	32310	55970
732	32362	55939
733	32413	55906
734	32463	55872
735	32514	55840
736	32568	55812
737	32615	55772
738	32662	55733
739	32709	55694
740	32761	55663
741	32809	55626
742	32859	55590
743	32911	55559
744	32961	55525
745	33011	55490
746	33061	55456
747	33100	55403
748	33136	55345
749	33175	55293
750	33213	55237
751	33252	55185
752	33291	55132
753	33328	55076
754	33367	55023
755	33406	54970
756	33445	54918
757	33480	54859
758	33518	54804
759	33558	54753
760	33593	54693
761	33640	54654
762	33677	54598
763	33714	54543
764	33751	54487
765	33786	54428
766	33823	54374
767	33858	54315
768	33902	54270
769	33938	54213
770	33976	54160
771	34016	54108
772	34055	54056
773	34092	54002
774	34162	53999
775	34213	53965
776	34262	53928
777	34312	53893
778	34362	53859
779	34414	53828
780	34467	53797
781	34518	53764
782	34568	53729
783	34619	53695
784	34668	53659
785	34722	53629
786	34774	53598
787	34824	53562
788	34874	53527
789	34927	53497
790	34984	53471
791	35032	53433
792	35080	53395
793	35120	53344
794	35160	53292
795	35200	53243
796	35238	53189
797	35274	53133
798	35308	53073
799	35348	53022
800	35388	52972
801	35423	52913
802	35463	52864
803	35514	52829
804	35551	52775
805	35593	52727
806	35632	52675
807	35670	52622
808	35707	52567
809	35748	52518
810	35785	52464
811	35818	52404
812	35854	52348
813	35894	52297
814	35937	52252
815	35973	52196
816	36010	52142
817	36047	52087
818	36095	52049
819	36131	51994
820	36172	51945
821	36211	51894
822	36251	51844
823	36297	51803
824	36344	51764
825	36391	51723
826	36429	51671
827	36468	51619
828	36510	51573
829	36554	51528
830	36606	51495
831	36642	51440
832	36678	51385
833	36717	51334
834	36755	51281
835	36799	51237
836	36846	51197
837	36886	51147
838	36925	51096
839	36962	51043
840	37001	50992
841	37041	50943
842	37080	50891
843	37118	50839
844	37165	50800
845	37215	50764
846	37263	50725
847	37312	50688
848	37362	50652
849	37410	50614
850	37461	50580
851	37515	50548
852	37562	50508
853	37612	50473
854	37663	50437
855	37711	50399
856	37762	50364
857	37811	50327
858	37862	50292
859	37922	50269
860	37966	50225
861	38015	50187
862	38066	50151
863	38116	50116
864	38159	50070
865	38215	50041
866	38265	50005
867	38315	49968
868	38367	49935
869	38421	49904
870	38469	49864
871	38519	49827
872	38568	49790
873	38622	49759
874	38670	49719
875	38716	49676
876	38765	49639
877	38818	49606
878	38868	49569
879	38917	49530
880	38968	49496
881	39020	49461
882	39072	49426
883	39120	49387
884	39169	49349
885	39230	49325
886	39271	49277
887	39308	49223
888	39344	49170
889	39381	49116
890	39418	49062
891	39457	49012
892	39500	48966
893	39538	48914
894	39576	48862
895	39616	48813
896	39652	48759
897	39688	48704
898	39728	48655
899	39779	48618
900	39819	48569
901	39856	48517
902	39889	48459
903	39929	48409
904	39968	48359
905	40010	48313
906	40050	48263
907	40090	48214
908	40128	48162
909	40166	48111
910	40226	48086
911	40265	48035
912	40302	47983
913	40337	47928
914	40376	47878
915	40413	47826
916	40451	47774
917	40487	47720
918	40523	47667
919	40562	47616
920	40600	47565
921	40639	47515
922	40675	47462
923	40712	47409
924	40750	47359
925	40788	47307
926	40824	47254
927	40863	47203
928	40903	47156
929	40942	47106
930	40980	47055
931	41020	47006
932	41059	46956
933	41096	46905
934	41133	46852
935	41171	46801
936	41206	46747
937	41267	46722
938	41315	46682
939	41362	46642
940	41410	46603
941	41455	46560
942	41505	46523
943	41554	46484
944	41604	46446
945	41655	46411
946	41706	46375
947	41759	46341
948	41812	46306
949	41861	46267
950	41914	46233
951	41982	46216
952	42043	46190
953	42098	46158
954	42149	46121
955	42196	46081
956	42240	46035
957	42293	46002
958	42331	45950
959	42370	45901
960	42414	45856
961	42452	45806
962	42492	45757
963	42530	45707
964	42570	45658
965	42608	45608
966	42651	45562
967	42688	45511
968	42725	45459
969	42763	45408
970	42800	45357
971	42840	45308
972	42892	45273
973	42941	45234
974	42990	45195
975	43031	45147
976	43068	45096
977	43105	45044
978	43142	44993
979	43180	44942
980	43217	44891
981	43256	44842
982	43308	44806
983	43361	44771
984	43414	44736
985	43466	44701
986	43531	44677
987	43581	44639
988	43630	44601
989	43678	44560
990	43730	44524
991	43780	44486
992	43829	44447
993	43880	44410
994	43929	44371
995	43981	44334
996	44030	44295
997	44082	44259
998	44135	44223
999	44188	44188
1000	44238	44150
1001	44276	44100
1002	44313	44047
1003	44349	43995
1004	44390	43948
1005	44431	43901
1006	44469	43851
1007	44505	43798
1008	44542	43748
1009	44585	43702
1010	44630	43659
1011	44668	43608
1012	44704	43557
1013	44743	43507
1014	44784	43461
1015	44830	43418
1016	44869	43369
1017	44924	43336
1018	44969	43292
1019	45013	43248
1020	45053	43199
1021	45089	43148
1022	45128	43099
1023	45167	43050
1024	45206	43000
1025	45237	42944
1026	45276	42896
1027	45331	42862
1028	45370	42813
1029	45411	42766
1030	45449	42716
1031	45488	42667
1032	45528	42619
1033	45575	42578
1034	45615	42529
1035	45666	42493
1036	45706	42445
1037	45744	42395
1038	45786	42348
1039	45826	42301
1040	45870	42257
1041	45909	42208
1042	45951	42162
1043	45992	42115
1044	46033	42068
1045	46070	42018
1046	46111	41971
1047	46148	41921
1048	46190	41875
1049	46232	41829
1050	46286	41794
1051	46492	41895
1052	46541	41856
1053	46592	41818
1054	46641	41778
1055	46691	41739
1056	46743	41702
1057	46794	41663
1058	46841	41622
1059	46893	41585
1060	46945	41547
1061	46997	41509
1062	47048	41471
1063	47099	41433
1064	47150	41394
1065	47200	41355
1066	47253	41318
1067	47314	41289
1068	47363	41248
1069	47411	41208
1070	47462	41169
1071	47523	41139
1072	47560	41089
1073	47599	41039
1074	47640	40992
1075	47690	40953
1076	47728	40903
1077	47767	40854
1078	47805	40805
1079	47844	40756
1080	47880	40705
1081	47921	40657
1082	47958	40607
1083	47994	40556
1084	48032	40507
1085	48073	40459
1086	48113	40412
1087	48150	40361
1088	48188	40311
1089	48226	40262
1090	48277	40223
1091	48313	40173
1092	48350	40122
1093	48387	40072
1094	48425	40022
1095	48461	39972
1096	48498	39921
1097	48544	39879
1098	48591	39837
1099	48633	39791
1100	48675	39745
1101	48713	39695
1102	48761	39654
1103	48798	39604
1104	48835	39554
1105	48875	39506
1106	48914	39458
1107	48953	39410
1108	48991	39361
1109	49030	39312
1110	49072	39266
1111	49106	39214
1112	49146	39166
1113	49184	39118
1114	49226	39072
1115	49265	39023
1116	49301	38973
1117	49349	38932
1118	49387	38883
1119	49426	38834
1120	49461	38783
1121	49498	38734
1122	49558	38702
1123	49604	38659
1124	49651	38617
1125	49692	38570
1126	49732	38523
1127	49771	38475
1128	49811	38428
1129	49855	38384
1130	49902	38342
1131	49946	38298
1132	49985	38250
1133	50023	38201
1134	50059	38150
1135	50108	38110
1136	50170	38080
1137	50213	38035
1138	50260	37993
1139	50298	37944
1140	50339	37898
1141	50378	37850
1142	50415	37800
1143	50457	37755
1144	50497	37707
1145	50534	37658
1146	50593	37625
1147	50644	37586
1148	50690	37543
1149	50744	37506
1150	50797	37469
1151	50847	37429
1152	50897	37389
1153	50947	37349
1154	50996	37308
1155	51045	37268
1156	51094	37227
1157	51143	37186
1158	51191	37146
1159	51243	37107
1160	51293	37067
1161	51345	37029
1162	51395	36988
1163	51446	36949
1164	51497	36910
1165	51549	36871
1166	51604	36835
1167	51641	36785
1168	51677	36735
1169	51715	36686
1170	51754	36639
1171	51795	36592
1172	51830	36542
1173	51866	36492
1174	51900	36441
1175	51938	36392
1176	51975	36343
1177	52012	36294
1178	52050	36245
1179	52086	36195
1180	52127	36149
1181	52165	36101
1182	52205	36053
1183	52242	36005
1184	52279	35955
1185	52315	35906
1186	52354	35858
1187	52390	35808
1188	52429	35761
1189	52474	35717
1190	52512	35669
1191	52548	35619
1192	52584	35570
1193	52635	35530
1194	52673	35483
1195	52713	35436
1196	52750	35387
1197	52787	35338
1198	52824	35289
1199	52861	35240
1200	52909	35199
1201	52947	35151
1202	52985	35103
1203	53021	35054
1204	53056	35004
1205	53092	34954
1206	53127	34905
1207	53165	34856
1208	53203	34808
1209	53240	34760
1210	53277	34711
1211	53315	34664
1212	53354	34616
1213	53390	34567
1214	53427	34518
1215	53466	34471
1216	53502	34422
1217	53539	34374
1218	53572	34323
1219	53612	34276
1220	53661	34236
1221	53707	34193
1222	53746	34146
1223	53795	34105
1224	53841	34062
1225	53879	34015
1226	53928	33974
1227	53971	33930
1228	54011	33883
1229	54049	33835
1230	54087	33788
1231	54123	33739
1232	54161	33691
1233	54202	33646
1234	54240	33598
1235	54282	33553
1236	54336	33515
1237	54374	33467
1238	54411	33419
1239	54452	33374
1240	54488	33325
1241	54524	33276
1242	54563	33229
1243	54603	33183
1244	54641	33135
1245	54704	33103
1246	54755	33063
1247	54805	33023
1248	54870	32992
1249	54920	32952
1250	54969	32911
1251	55018	32870
1252	55065	32828
1253	55118	32790
1254	55168	32749
1255	55217	32708
1256	55265	32666
1257	55315	32626
1258	55374	32591
1259	55422	32549
1260	55471	32508
1261	55518	32466
1262	55564	32423
1263	55613	32382
1264	55663	32341
1265	55726	32309
1266	55775	32267
1267	55832	32231
1268	55890	32195
1269	55942	32155
1270	55992	32115
1271	56043	32075
1272	56092	32034
1273	56140	31992
1274	56190	31951
1275	56238	31909
1276	56286	31867
1277	56337	31827
1278	56384	31785
1279	56432	31743
1280	56481	31701
1281	56530	31660
1282	56581	31620
1283	56637	31582
1284	56689	31543
1285	56744	31504
1286	56782	31457
1287	56823	31411
1288	56871	31369
1289	56913	31324
1290	56952	31277
1291	56991	31230
1292	57030	31183
1293	57067	31135
1294	57111	31091
1295	57150	31044
1296	57186	30996
1297	57222	30947
1298	57259	30900
1299	57298	30852
1300	57334	30804
1301	57373	30757
1302	57414	30711
1303	57451	30664
1304	57490	30617
1305	57527	30569
1306	57565	30522
1307	57605	30476
1308	57644	30429
1309	57681	30381
1310	57738	30344
1311	57783	30301
1312	57825	30255
1313	57872	30213
1314	57921	30172
1315	57962	30126
1316	58000	30079
1317	58038	30032
1318	58076	29984
1319	58117	29939
1320	58159	29894
1321	58199	29848
1322	58238	29801
1323	58275	29754
1324	58315	29708
1325	58353	29660
1326	58392	29614
1327	58441	29572
1328	58481	29526
1329	58520	29480
1330	58561	29434
1331	58600	29388
1332	58640	29342
1333	58676	29294
1334	58715	29247
1335	58757	29202
1336	58794	29155
1337	58838	29111
1338	58892	29072
1339	58943	29031
1340	58985	28986
1341	59020	28938
1342	59068	28896
1343	59107	28849
1344	59142	28801
1345	59176	28753
1346	59214	28705
1347	59250	28658
1348	59288	28611
1349	59329	28566
1350	59373	28522
1351	59416	28477
1352	59453	28430
1353	59495	28385
1354	59534	28339
1355	59576	28294
1356	59613	28247
1357	59661	28205
1358	59698	28158
1359	59738	28112
1360	59799	28076
1361	59838	28030
1362	59876	27983
1363	59917	27938
1364	59957	27892
1365	59993	27844
1366	60036	27800
1367	60075	27754
1368	60113	27707
1369	60148	27659
1370	60187	27613
1371	60232	27570
1372	60269	27523
1373	60307	27476
1374	60344	27429
1375	60381	27382
1376	60420	27336
1377	60458	27289
1378	60494	27242
1379	60532	27195
1380	60568	27148
1381	60605	27101
1382	60643	27055
1383	60680	27008
1384	60720	26962
1385	60759	26916
1386	60798	26870
1387	60860	26834
1388	60911	26794
1389	60963	26753
1390	61016	26713
1391	61067	26673
1392	61119	26632
1393	61172	26592
1394	61236	26557
1395	61285	26516
1396	61335	26474
1397	61384	26433
1398	61433	26391
1399	61491	26353
1400	61540	26311
1401	61591	26271
1402	61640	26229
1403	61688	26186
1404	61735	26144
1405	61784	26102
1406	61833	26060
1407	61909	26030
1408	61956	25987
1409	62005	25945
1410	62053	25903
1411	62101	25860
1412	62149	25818
1413	62205	25779
1414	62267	25743
1415	62316	25701
1416	62369	25660
1417	62420	25619
1418	62468	25577
1419	62518	25535
1420	62570	25494
1421	62623	25454
1422	62675	25413
1423	62723	25371
1424	62774	25330
1425	62829	25290
1426	62897	25256
1427	62937	25210
1428	62974	25163
1429	63013	25117
1430	63052	25071
1431	63091	25024
1432	63140	24982
1433	63178	24936
1434	63215	24889
1435	63254	24843
1436	63294	24797
1437	63334	24752
1438	63370	24705
1439	63409	24659
1440	63447	24612
1441	63486	24566
1442	63523	24520
1443	63559	24473
1444	63597	24426
1445	63636	24380
1446	63672	24333
1447	63714	24288
1448	63754	24243
1449	63796	24198
1450	63837	24153
1451	63881	24109
1452	63935	24069
1453	63985	24027
1454	64032	23984
1455	64078	23941
1456	64129	23899
1457	64176	23857
1458	64222	23813
1459	64270	23771
1460	64322	23730
1461	64369	23687
1462	64423	23646
1463	64474	23605
1464	64522	23562
1465	64570	23520
1466	64621	23478
1467	64670	23436
1468	64720	23394
1469	64773	23353
1470	64825	23312
1471	64876	23270
1472	64925	23228
1473	64975	23186
1474	65024	23144
1475	65072	23101
1476	65122	23059
1477	65170	23017
1478	65220	22974
1479	65268	22932
1480	65316	22889
1481	65368	22848
1482	65417	22805
1483	65464	22762
1484	65511	22719
1485	65562	22677
1486	65608	22634
1487	65656	22591
1488	65706	22549
1489	65754	22506
1490	65802	22463
1491	65852	22421
1492	65925	22387
1493	65994	22351
1494	66046	22309
1495	66094	22267
1496	66144	22224
1497	66191	22181
1498	66239	22138
1499	66289	22096
1500	66337	22053
1501	66396	22014
1502	66446	21971
1503	66495	21929
1504	66545	21887
1505	66595	21844
1506	66645	21802
1507	66691	21758
1508	66741	21716
1509	66793	21674
1510	66844	21632
1511	66893	21589
1512	66943	21547
